Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
208545_page_53.txt,0.3476,543,2659,511,3087,0.0156
208545_page_54.txt,0.0694,424,2544,423,2593,0.0294
208545_page_55.txt,0.2144,308,1571,304,1772,0.0140
208545_page_6.txt,0.1334,426,2363,419,2542,0.0297
208545_page_7.txt,0.2842,166,721,147,848,0.0000
208545_page_8.txt,0.0509,549,3142,552,3243,0.0278
208545_page_9.txt,0.2006,151,817,164,952,0.0000
208571_page_1.txt,0.1393,205,891,190,926,0.0000
208571_page_2.txt,0.6284,127,498,136,1028,0.0000
208571_page_3.txt,0.0666,224,937,209,931,0.0000
208571_page_4.txt,0.4941,205,938,208,1536,0.0043
208571_page_5.txt,0.2851,250,1152,234,1389,0.0070
208656_page_1.txt,0.2436,459,1869,341,1942,0.0145
208656_page_2.txt,0.3800,711,2098,394,2092,0.0213
208656_page_3.txt,0.3921,687,2057,385,2086,0.0145
208656_page_4.txt,0.5289,756,2004,383,2182,0.0200
208656_page_5.txt,0.3760,572,1904,333,1955,0.0151
208656_page_6.txt,0.3811,286,984,173,1018,0.0000
208682_page_1.txt,0.1472,475,2107,377,1991,0.0104
208682_page_2.txt,0.1437,485,2234,401,2227,0.0236
208682_page_3.txt,0.1345,271,1207,229,1249,0.0000
208748_page_1.txt,0.4637,54,251,45,289,0.0000
208748_page_10.txt,0.4387,194,927,164,1167,0.0130
208748_page_11.txt,0.5466,240,1168,230,2124,0.0168
208748_page_12.txt,0.6364,1567,6398,1415,10843,0.2960
208748_page_13.txt,0.3339,271,1375,261,1872,0.0160
208748_page_14.txt,0.1853,129,706,131,842,0.0000
208748_page_15.txt,0.1930,297,1582,279,1819,0.0090
208748_page_16.txt,0.1789,114,608,101,626,0.0000
208748_page_17.txt,0.1755,352,1903,348,2200,0.0170
208748_page_18.txt,0.1836,208,1048,208,1247,0.0000
208748_page_19.txt,0.1730,206,1081,206,1237,0.0183
208748_page_2.txt,0.0853,135,698,120,692,0.0026
208748_page_20.txt,0.0383,233,1244,221,1253,0.0178
208748_page_21.txt,0.1719,102,562,100,634,0.0000
208748_page_22.txt,0.5318,147,524,128,850,0.0000
208748_page_23.txt,0.2752,165,908,173,1192,0.0025
208748_page_24.txt,0.2732,217,1132,226,1519,0.0105
208748_page_25.txt,0.5152,92,475,85,856,0.0000
208748_page_26.txt,0.3064,148,834,150,1162,0.0000
